Team,Seed,Date,PTS,Opp,Opp_Seed,Result,Round,Region,MP_team,FG_team,FGA_team,FG%_team,x2P_team,x2PA_team,x2P_perc_team,x3P_team,x3PA_team,x3P_perc_team,FT_team,FTA_team,FT_perc_team,PTS_team,FG_opp,FGA_opp,FG_perc_opp,x2P_opp,x2PA_opp,x2P_per_opp,x3P_opp,x3PA_opp,x3P_perc_opp,FT_opp,FTA_opp,FT_perc_opp,PTS_opp
Bradley,,1954-03-19 NCAA,74,USC,,W 74-72,National Semi,West,,25,,,25,,,,,,24,32,0.75,74,27,,,27,,,,,,18,26,0.692,72
USC,,1954-03-19 NCAA,72,Bradley,,L 72-74,National Semi,West,,27,,,27,,,,,,18,26,0.692,72,25,,,25,,,,,,24,32,0.75,74
La Salle,,1954-03-19 NCAA,69,Penn State,,W 69-54,National Semi,East,,24,54,0.444,24,54,0.444,,,,21,32,0.656,69,20,79,0.253,20,79,0.253,,,,14,24,0.583,54
Penn State,,1954-03-19 NCAA,54,La Salle,,L 54-69,National Semi,East,,20,79,0.253,20,79,0.253,,,,14,24,0.583,54,24,54,0.444,24,54,0.444,,,,21,32,0.656,69
Washington,,1953-03-18 NCAA,88,LSU,,W 88-69,National 3rd,West,,34,,,34,,,,,,20,28,0.714,88,27,,,27,,,,,,15,18,0.833,69
Indiana,,1953-03-18 NCAA,69,Kansas,,W 69-68,National Final,East,,25,69,0.362,25,69,0.362,,,,19,28,0.679,69,21,65,0.323,21,65,0.323,,,,26,33,0.788,68
LSU,,1953-03-18 NCAA,69,Washington,,L 69-88,National 3rd,East,,27,,,27,,,,,,15,18,0.833,69,34,,,34,,,,,,20,28,0.714,88
Kansas,,1953-03-18 NCAA,68,Indiana,,L 68-69,National Final,West,,21,65,0.323,21,65,0.323,,,,26,33,0.788,68,25,69,0.362,25,69,0.362,,,,19,28,0.679,69
Indiana,,1953-03-17 NCAA,80,LSU,,W 80-67,National Semi,East,,25,53,0.472,25,53,0.472,,,,30,42,0.714,80,22,70,0.314,22,70,0.314,,,,23,44,0.523,67
Kansas,,1953-03-17 NCAA,79,Washington,,W 79-53,National Semi,West,,30,70,0.429,30,70,0.429,,,,19,30,0.633,79,19,62,0.306,19,62,0.306,,,,15,28,0.536,53
LSU,,1953-03-17 NCAA,67,Indiana,,L 67-80,National Semi,East,,22,70,0.314,22,70,0.314,,,,23,44,0.523,67,25,53,0.472,25,53,0.472,,,,30,42,0.714,80
Washington,,1953-03-17 NCAA,53,Kansas,,L 53-79,National Semi,West,,19,62,0.306,19,62,0.306,,,,15,28,0.536,53,30,70,0.429,30,70,0.429,,,,19,30,0.633,79
Kansas,,1952-03-26 NCAA,80,St. John's (NY),,W 80-63,National Final,West,,28,63,0.444,28,63,0.444,,,,24,35,0.686,80,25,55,0.455,25,55,0.455,,,,13,27,0.481,63
Illinois,,1952-03-26 NCAA,67,Santa Clara,,W 67-64,National 3rd,East,,22,,,22,,,,,,23,32,0.719,67,22,,,22,,,,,,20,22,0.909,64
Santa Clara,,1952-03-26 NCAA,64,Illinois,,L 64-67,National 3rd,West,,22,,,22,,,,,,20,22,0.909,64,22,,,22,,,,,,23,32,0.719,67
St. John's (NY),,1952-03-26 NCAA,63,Kansas,,L 63-80,National Final,East,,25,55,0.455,25,55,0.455,,,,13,27,0.481,63,28,63,0.444,28,63,0.444,,,,24,35,0.686,80
Kansas,,1952-03-25 NCAA,74,Santa Clara,,W 74-55,National Semi,West,,27,56,0.482,27,56,0.482,,,,20,28,0.714,74,23,65,0.354,23,65,0.354,,,,9,12,0.75,55
St. John's (NY),,1952-03-25 NCAA,61,Illinois,,W 61-59,National Semi,East,,23,,,23,,,,,,15,20,0.75,61,25,,,25,,,,,,9,24,0.375,59
Illinois,,1952-03-25 NCAA,59,St. John's (NY),,L 59-61,National Semi,East,,25,,,25,,,,,,9,24,0.375,59,23,,,23,,,,,,15,20,0.75,61
Santa Clara,,1952-03-25 NCAA,55,Kansas,,L 55-74,National Semi,West,,23,65,0.354,23,65,0.354,,,,9,12,0.75,55,27,56,0.482,27,56,0.482,,,,20,28,0.714,74
Kentucky,,1951-03-27 NCAA,68,Kansas State,,W 68-58,National Final,East,,28,69,0.406,28,69,0.406,,,,12,24,0.5,68,23,80,0.288,23,80,0.288,,,,12,18,0.667,58
Illinois,,1951-03-27 NCAA,61,Oklahoma State,,W 61-46,National 3rd,East,,16,57,0.281,16,57,0.281,,,,29,36,0.806,61,18,71,0.254,18,71,0.254,,,,10,19,0.526,46
Kansas State,,1951-03-27 NCAA,58,Kentucky,,L 58-68,National Final,West,,23,80,0.288,23,80,0.288,,,,12,18,0.667,58,28,69,0.406,28,69,0.406,,,,12,24,0.5,68
Oklahoma State,,1951-03-27 NCAA,46,Illinois,,L 46-61,National 3rd,West,,18,71,0.254,18,71,0.254,,,,10,19,0.526,46,16,57,0.281,16,57,0.281,,,,29,36,0.806,61
Kentucky,,1951-03-24 NCAA,76,Illinois,,W 76-74,National Semi,East,,32,91,0.352,32,91,0.352,,,,12,21,0.571,76,26,70,0.371,26,70,0.371,,,,22,35,0.629,74
Illinois,,1951-03-24 NCAA,74,Kentucky,,L 74-76,National Semi,East,,26,70,0.371,26,70,0.371,,,,22,35,0.629,74,32,91,0.352,32,91,0.352,,,,12,21,0.571,76
Kansas State,,1951-03-24 NCAA,68,Oklahoma State,,W 68-44,National Semi,West,,26,54,0.481,26,54,0.481,,,,16,27,0.593,68,16,52,0.308,16,52,0.308,,,,12,14,0.857,44
Oklahoma State,,1951-03-24 NCAA,44,Kansas State,,L 44-68,National Semi,West,,16,52,0.308,16,52,0.308,,,,12,14,0.857,44,26,54,0.481,26,54,0.481,,,,16,27,0.593,68
CCNY,,1950-03-28 NCAA,71,Bradley,,W 71-68,National Final,East,,26,64,0.406,26,64,0.406,,,,19,35,0.543,71,27,74,0.365,27,74,0.365,,,,14,21,0.667,68
Bradley,,1950-03-28 NCAA,68,CCNY,,L 68-71,National Final,West,,27,74,0.365,27,74,0.365,,,,14,21,0.667,68,26,64,0.406,26,64,0.406,,,,19,35,0.543,71
NC State,,1950-03-28 NCAA,53,Baylor,,W 53-41,National 3rd,East,,15,77,0.195,15,77,0.195,,,,23,35,0.657,53,16,60,0.267,16,60,0.267,,,,9,20,0.45,41
Baylor,,1950-03-28 NCAA,41,NC State,,L 41-53,National 3rd,West,,16,60,0.267,16,60,0.267,,,,9,20,0.45,41,15,77,0.195,15,77,0.195,,,,23,35,0.657,53
CCNY,,1950-03-25 NCAA,78,NC State,,W 78-73,National Semi,East,,30,81,0.37,30,81,0.37,,,,18,31,0.581,78,26,68,0.382,26,68,0.382,,,,21,31,0.677,73
NC State,,1950-03-25 NCAA,73,CCNY,,L 73-78,National Semi,East,,26,68,0.382,26,68,0.382,,,,21,31,0.677,73,30,81,0.37,30,81,0.37,,,,18,31,0.581,78
Bradley,,1950-03-25 NCAA,68,Baylor,,W 68-66,National Semi,West,,25,68,0.368,25,68,0.368,,,,18,25,0.72,68,24,61,0.393,24,61,0.393,,,,18,21,0.857,66
Baylor,,1950-03-25 NCAA,66,Bradley,,L 66-68,National Semi,West,,24,61,0.393,24,61,0.393,,,,18,21,0.857,66,25,68,0.368,25,68,0.368,,,,18,25,0.72,68
Illinois,,1949-03-26 NCAA,57,Oregon State,,W 57-53,National 3rd,East,,23,,,23,,,,,,11,23,0.478,57,19,,,19,,,,,,15,25,0.6,53
Oregon State,,1949-03-26 NCAA,53,Illinois,,L 53-57,National 3rd,West,,19,,,19,,,,,,15,25,0.6,53,23,,,23,,,,,,11,23,0.478,57
Kentucky,,1949-03-26 NCAA,46,Oklahoma State,,W 46-36,National Final,East,,16,,,16,,,,,,14,19,0.737,46,9,,,9,,,,,,18,24,0.75,36
Oklahoma State,,1949-03-26 NCAA,36,Kentucky,,L 36-46,National Final,West,,9,,,9,,,,,,18,24,0.75,36,16,,,16,,,,,,14,19,0.737,46
Kentucky,,1949-03-22 NCAA,76,Illinois,,W 76-47,National Semi,East,,31,,,31,,,,,,14,22,0.636,76,19,69,0.275,19,69,0.275,,,,9,14,0.643,47
Illinois,,1949-03-22 NCAA,47,Kentucky,,L 47-76,National Semi,East,,19,69,0.275,19,69,0.275,,,,9,14,0.643,47,31,,,31,,,,,,14,22,0.636,76
Oklahoma State,,1949-03-19 NCAA,55,Oregon State,,W 55-30,National Semi,West,,17,,,17,,,,,,21,24,0.875,55,11,,,11,,,,,,8,15,0.533,30
