Team,Seed,Date,PTS,Opp,Opp_Seed,Result,Round,Region,MP_team,FG_team,FGA_team,FG%_team,x2P_team,x2PA_team,x2P_perc_team,x3P_team,x3PA_team,x3P_perc_team,FT_team,FTA_team,FT_perc_team,PTS_team,FG_opp,FGA_opp,FG_perc_opp,x2P_opp,x2PA_opp,x2P_per_opp,x3P_opp,x3PA_opp,x3P_perc_opp,FT_opp,FTA_opp,FT_perc_opp,PTS_opp
Florida,1,2025-04-07 NCAA,65,Houston,1,W 65-63,National Final,West,200,21,53,0.396,15,29,0.517,6,24,0.25,17,21,0.81,65,24,69,0.348,18,44,0.409,6,25,0.24,9,14,0.643,63
Houston,1,2025-04-07 NCAA,63,Florida,1,L 63-65,National Final,Midwest,200,24,69,0.348,18,44,0.409,6,25,0.24,9,14,0.643,63,21,53,0.396,15,29,0.517,6,24,0.25,17,21,0.81,65
Florida,1,2025-04-05 NCAA,79,Auburn,1,W 79-73,National Semi,West,200,25,53,0.472,17,32,0.531,8,21,0.381,21,30,0.7,79,25,57,0.439,18,32,0.563,7,25,0.28,16,23,0.696,73
Auburn,1,2025-04-05 NCAA,73,Florida,1,L 73-79,National Semi,South,200,25,57,0.439,18,32,0.563,7,25,0.28,16,23,0.696,73,25,53,0.472,17,32,0.531,8,21,0.381,21,30,0.7,79
Houston,1,2025-04-05 NCAA,70,Duke,1,W 70-67,National Semi,Midwest,200,23,61,0.377,13,39,0.333,10,22,0.455,14,18,0.778,70,21,53,0.396,14,36,0.389,7,17,0.412,18,23,0.783,67
Duke,1,2025-04-05 NCAA,67,Houston,1,L 67-70,National Semi,East,200,21,53,0.396,14,36,0.389,7,17,0.412,18,23,0.783,67,23,61,0.377,13,39,0.333,10,22,0.455,14,18,0.778,70
UConn,1,2024-04-08 NCAA,75,Purdue,1,W 75-60,National Final,East,200,30,62,0.484,24,40,0.6,6,22,0.273,9,11,0.818,75,24,54,0.444,23,47,0.489,1,7,0.143,11,15,0.733,60
Purdue,1,2024-04-08 NCAA,60,UConn,1,L 60-75,National Final,Midwest,200,24,54,0.444,23,47,0.489,1,7,0.143,11,15,0.733,60,30,62,0.484,24,40,0.6,6,22,0.273,9,11,0.818,75
UConn,1,2024-04-06 NCAA,86,Alabama,4,W 86-72,National Semi,East,200,31,62,0.5,21,37,0.568,10,25,0.4,14,18,0.778,86,26,58,0.448,15,35,0.429,11,23,0.478,9,11,0.818,72
Alabama,4,2024-04-06 NCAA,72,UConn,1,L 72-86,National Semi,West,200,26,58,0.448,15,35,0.429,11,23,0.478,9,11,0.818,72,31,62,0.5,21,37,0.568,10,25,0.4,14,18,0.778,86
Purdue,1,2024-04-06 NCAA,63,NC State,11,W 63-50,National Semi,Midwest,200,22,55,0.4,12,30,0.4,10,25,0.4,9,10,0.9,63,21,57,0.368,16,38,0.421,5,19,0.263,3,4,0.75,50
NC State,11,2024-04-06 NCAA,50,Purdue,1,L 50-63,National Semi,South,200,21,57,0.368,16,38,0.421,5,19,0.263,3,4,0.75,50,22,55,0.4,12,30,0.4,10,25,0.4,9,10,0.9,63
UConn,4,2023-04-03 NCAA,76,San Diego State,5,W 76-59,National Final,West,200,23,53,0.434,17,36,0.472,6,17,0.353,24,27,0.889,76,19,59,0.322,13,36,0.361,6,23,0.261,15,20,0.75,59
San Diego State,5,2023-04-03 NCAA,59,UConn,4,L 59-76,National Final,South,200,19,59,0.322,13,36,0.361,6,23,0.261,15,20,0.75,59,23,53,0.434,17,36,0.472,6,17,0.353,24,27,0.889,76
UConn,4,2023-04-01 NCAA,72,Miami (FL),5,W 72-59,National Semi,West,200,28,57,0.491,19,31,0.613,9,26,0.346,7,13,0.538,72,20,62,0.323,13,42,0.31,7,20,0.35,12,12,1,59
San Diego State,5,2023-04-01 NCAA,72,Florida Atlantic,9,W 72-71,National Semi,South,200,25,57,0.439,16,39,0.41,9,18,0.5,13,22,0.591,72,23,52,0.442,14,30,0.467,9,22,0.409,16,21,0.762,71
Florida Atlantic,9,2023-04-01 NCAA,71,San Diego State,5,L 71-72,National Semi,East,200,23,52,0.442,14,30,0.467,9,22,0.409,16,21,0.762,71,25,57,0.439,16,39,0.41,9,18,0.5,13,22,0.591,72
Miami (FL),5,2023-04-01 NCAA,59,UConn,4,L 59-72,National Semi,Midwest,200,20,62,0.323,13,42,0.31,7,20,0.35,12,12,1,59,28,57,0.491,19,31,0.613,9,26,0.346,7,13,0.538,72
Kansas,1,2022-04-04 NCAA,72,North Carolina,8,W 72-69,National Final,Midwest,200,29,66,0.439,23,49,0.469,6,17,0.353,8,14,0.571,72,23,73,0.315,18,50,0.36,5,23,0.217,18,22,0.818,69
North Carolina,8,2022-04-04 NCAA,69,Kansas,1,L 69-72,National Final,East,200,23,73,0.315,18,50,0.36,5,23,0.217,18,22,0.818,69,29,66,0.439,23,49,0.469,6,17,0.353,8,14,0.571,72
Kansas,1,2022-04-02 NCAA,81,Villanova,2,W 81-65,National Semi,Midwest,200,29,54,0.537,16,30,0.533,13,24,0.542,10,13,0.769,81,22,57,0.386,9,26,0.346,13,31,0.419,8,10,0.8,65
North Carolina,8,2022-04-02 NCAA,81,Duke,2,W 81-77,National Semi,East,200,27,64,0.422,17,38,0.447,10,26,0.385,17,24,0.708,81,30,72,0.417,25,50,0.5,5,22,0.227,12,20,0.6,77
Duke,2,2022-04-02 NCAA,77,North Carolina,8,L 77-81,National Semi,West,200,30,72,0.417,25,50,0.5,5,22,0.227,12,20,0.6,77,27,64,0.422,17,38,0.447,10,26,0.385,17,24,0.708,81
Villanova,2,2022-04-02 NCAA,65,Kansas,1,L 65-81,National Semi,South,200,22,57,0.386,9,26,0.346,13,31,0.419,8,10,0.8,65,29,54,0.537,16,30,0.533,13,24,0.542,10,13,0.769,81
Baylor,1,2021-04-05 NCAA,86,Gonzaga,1,W 86-70,National Final,South,200,30,67,0.448,20,44,0.455,10,23,0.435,16,18,0.889,86,25,49,0.51,20,32,0.625,5,17,0.294,15,21,0.714,70
Gonzaga,1,2021-04-05 NCAA,70,Baylor,1,L 70-86,National Final,West,200,25,49,0.51,20,32,0.625,5,17,0.294,15,21,0.714,70,30,67,0.448,20,44,0.455,10,23,0.435,16,18,0.889,86
Gonzaga,1,2021-04-03 NCAA,93,UCLA,11,W 93-90 (OT),National Semi,West,225,37,63,0.587,30,42,0.714,7,21,0.333,12,20,0.6,93,34,59,0.576,26,42,0.619,8,17,0.471,14,21,0.667,90
UCLA,11,2021-04-03 NCAA,90,Gonzaga,1,L 90-93 (OT),National Semi,East,225,34,59,0.576,26,42,0.619,8,17,0.471,14,21,0.667,90,37,63,0.587,30,42,0.714,7,21,0.333,12,20,0.6,93
Baylor,1,2021-04-03 NCAA,78,Houston,2,W 78-59,National Semi,South,200,29,55,0.527,18,31,0.581,11,24,0.458,9,13,0.692,78,21,55,0.382,15,36,0.417,6,19,0.316,11,16,0.688,59
Houston,2,2021-04-03 NCAA,59,Baylor,1,L 59-78,National Semi,Midwest,200,21,55,0.382,15,36,0.417,6,19,0.316,11,16,0.688,59,29,55,0.527,18,31,0.581,11,24,0.458,9,13,0.692,78
Virginia,1,2019-04-08 NCAA,85,Texas Tech,3,W 85-77 (OT),National Final,South,225,27,59,0.458,16,35,0.457,11,24,0.458,20,23,0.87,85,27,63,0.429,17,33,0.515,10,30,0.333,13,15,0.867,77
Texas Tech,3,2019-04-08 NCAA,77,Virginia,1,L 77-85 (OT),National Final,West,225,27,63,0.429,17,33,0.515,10,30,0.333,13,15,0.867,77,27,59,0.458,16,35,0.457,11,24,0.458,20,23,0.87,85
Virginia,1,2019-04-06 NCAA,63,Auburn,5,W 63-62,National Semi,South,200,25,51,0.49,18,32,0.563,7,19,0.368,6,12,0.5,63,21,55,0.382,12,24,0.5,9,31,0.29,11,14,0.786,62
Auburn,5,2019-04-06 NCAA,62,Virginia,1,L 62-63,National Semi,Midwest,200,21,55,0.382,12,24,0.5,9,31,0.29,11,14,0.786,62,25,51,0.49,18,32,0.563,7,19,0.368,6,12,0.5,63
Texas Tech,3,2019-04-06 NCAA,61,Michigan State,2,W 61-51,National Semi,West,202,22,51,0.431,13,28,0.464,9,23,0.391,8,13,0.615,61,15,47,0.319,8,23,0.348,7,24,0.292,14,18,0.778,51
Michigan State,2,2019-04-06 NCAA,51,Texas Tech,3,L 51-61,National Semi,East,200,15,47,0.319,8,23,0.348,7,24,0.292,14,18,0.778,51,22,51,0.431,13,28,0.464,9,23,0.391,8,13,0.615,61
Villanova,1,2018-04-02 NCAA,79,Michigan,3,W 79-62,National Final,East,200,27,57,0.474,17,30,0.567,10,27,0.37,15,20,0.75,79,24,55,0.436,21,32,0.656,3,23,0.13,11,18,0.611,62
Michigan,3,2018-04-02 NCAA,62,Villanova,1,L 62-79,National Final,West,200,24,55,0.436,21,32,0.656,3,23,0.13,11,18,0.611,62,27,57,0.474,17,30,0.567,10,27,0.37,15,20,0.75,79
Villanova,1,2018-03-31 NCAA,95,Kansas,1,W 95-79,National Semi,East,200,36,65,0.554,18,25,0.72,18,40,0.45,5,7,0.714,95,28,62,0.452,21,41,0.512,7,21,0.333,16,20,0.8,79
Kansas,1,2018-03-31 NCAA,79,Villanova,1,L 79-95,National Semi,Midwest,200,28,62,0.452,21,41,0.512,7,21,0.333,16,20,0.8,79,36,65,0.554,18,25,0.72,18,40,0.45,5,7,0.714,95
Michigan,3,2018-03-31 NCAA,69,Loyola (IL),11,W 69-57,National Semi,West,200,25,59,0.424,18,31,0.581,7,28,0.25,12,18,0.667,69,22,51,0.431,21,41,0.512,1,10,0.1,12,14,0.857,57
Loyola (IL),11,2018-03-31 NCAA,57,Michigan,3,L 57-69,National Semi,South,200,22,51,0.431,21,41,0.512,1,10,0.1,12,14,0.857,57,25,59,0.424,18,31,0.581,7,28,0.25,12,18,0.667,69
North Carolina,1,2017-04-03 NCAA,71,Gonzaga,1,W 71-65,National Final,South,200,26,73,0.356,22,46,0.478,4,27,0.148,15,26,0.577,71,20,59,0.339,12,40,0.3,8,19,0.421,17,26,0.654,65
Gonzaga,1,2017-04-03 NCAA,65,North Carolina,1,L 65-71,National Final,West,200,20,59,0.339,12,40,0.3,8,19,0.421,17,26,0.654,65,26,73,0.356,22,46,0.478,4,27,0.148,15,26,0.577,71
Gonzaga,1,2017-04-01 NCAA,77,South Carolina,7,W 77-73,National Semi,West,200,29,60,0.483,20,41,0.488,9,19,0.474,10,13,0.769,77,25,66,0.379,18,46,0.391,7,20,0.35,16,22,0.727,73
North Carolina,1,2017-04-01 NCAA,77,Oregon,3,W 77-76,National Semi,South,200,25,68,0.368,17,47,0.362,8,21,0.381,19,27,0.704,77,22,58,0.379,15,32,0.469,7,26,0.269,25,28,0.893,76
Oregon,3,2017-04-01 NCAA,76,North Carolina,1,L 76-77,National Semi,Midwest,200,22,58,0.379,15,32,0.469,7,26,0.269,25,28,0.893,76,25,68,0.368,17,47,0.362,8,21,0.381,19,27,0.704,77
South Carolina,7,2017-04-01 NCAA,73,Gonzaga,1,L 73-77,National Semi,East,200,25,66,0.379,18,46,0.391,7,20,0.35,16,22,0.727,73,29,60,0.483,20,41,0.488,9,19,0.474,10,13,0.769,77
Villanova,2,2016-04-04 NCAA,77,North Carolina,1,W 77-74,National Final,South,200,28,48,0.583,20,34,0.588,8,14,0.571,13,17,0.765,77,27,63,0.429,16,46,0.348,11,17,0.647,9,13,0.692,74
North Carolina,1,2016-04-04 NCAA,74,Villanova,2,L 74-77,National Final,East,200,27,63,0.429,16,46,0.348,11,17,0.647,9,13,0.692,74,28,48,0.583,20,34,0.588,8,14,0.571,13,17,0.765,77
Villanova,2,2016-04-02 NCAA,95,Oklahoma,2,W 95-51,National Semi,South,200,35,49,0.714,24,31,0.774,11,18,0.611,14,19,0.737,95,19,60,0.317,13,33,0.394,6,27,0.222,7,11,0.636,51
North Carolina,1,2016-04-02 NCAA,83,Syracuse,10,W 83-66,National Semi,East,200,35,65,0.538,31,48,0.646,4,17,0.235,9,11,0.818,83,27,66,0.409,19,41,0.463,8,25,0.32,4,13,0.308,66
Syracuse,10,2016-04-02 NCAA,66,North Carolina,1,L 66-83,National Semi,Midwest,200,27,66,0.409,19,41,0.463,8,25,0.32,4,13,0.308,66,35,65,0.538,31,48,0.646,4,17,0.235,9,11,0.818,83
Oklahoma,2,2016-04-02 NCAA,51,Villanova,2,L 51-95,National Semi,West,200,19,60,0.317,13,33,0.394,6,27,0.222,7,11,0.636,51,35,49,0.714,24,31,0.774,11,18,0.611,14,19,0.737,95
Duke,1,2015-04-06 NCAA,68,Wisconsin,1,W 68-63,National Final,South,200,24,51,0.471,20,40,0.5,4,11,0.364,16,20,0.8,68,25,61,0.41,18,40,0.45,7,21,0.333,6,10,0.6,63
Wisconsin,1,2015-04-06 NCAA,63,Duke,1,L 63-68,National Final,West,200,25,61,0.41,18,40,0.45,7,21,0.333,6,10,0.6,63,24,51,0.471,20,40,0.5,4,11,0.364,16,20,0.8,68
Duke,1,2015-04-04 NCAA,81,Michigan State,7,W 81-61,National Semi,South,200,26,50,0.52,24,40,0.6,2,10,0.2,27,37,0.73,81,22,55,0.4,15,35,0.429,7,20,0.35,10,16,0.625,61
Wisconsin,1,2015-04-04 NCAA,71,Kentucky,1,W 71-64,National Semi,West,200,23,48,0.479,16,31,0.516,7,17,0.412,18,22,0.818,71,26,54,0.481,23,49,0.469,3,5,0.6,9,10,0.9,64
Kentucky,1,2015-04-04 NCAA,64,Wisconsin,1,L 64-71,National Semi,Midwest,200,26,54,0.481,23,49,0.469,3,5,0.6,9,10,0.9,64,23,48,0.479,16,31,0.516,7,17,0.412,18,22,0.818,71
Michigan State,7,2015-04-04 NCAA,61,Duke,1,L 61-81,National Semi,East,200,22,55,0.4,15,35,0.429,7,20,0.35,10,16,0.625,61,26,50,0.52,24,40,0.6,2,10,0.2,27,37,0.73,81
UConn,7,2014-04-07 NCAA,60,Kentucky,8,W 60-54,National Final,East,200,22,53,0.415,16,34,0.471,6,19,0.316,10,10,1,60,18,46,0.391,13,30,0.433,5,16,0.313,13,24,0.542,54
Kentucky,8,2014-04-07 NCAA,54,UConn,7,L 54-60,National Final,Midwest,200,18,46,0.391,13,30,0.433,5,16,0.313,13,24,0.542,54,22,53,0.415,16,34,0.471,6,19,0.316,10,10,1,60
Kentucky,8,2014-04-05 NCAA,74,Wisconsin,2,W 74-73,National Semi,Midwest,199,29,58,0.5,27,53,0.509,2,5,0.4,14,21,0.667,74,23,50,0.46,15,30,0.5,8,20,0.4,19,20,0.95,73
Wisconsin,2,2014-04-05 NCAA,73,Kentucky,8,L 73-74,National Semi,West,200,23,50,0.46,15,30,0.5,8,20,0.4,19,20,0.95,73,29,58,0.5,27,53,0.509,2,5,0.4,14,21,0.667,74
UConn,7,2014-04-05 NCAA,63,Florida,1,W 63-53,National Semi,East,200,24,43,0.558,19,31,0.613,5,12,0.417,10,13,0.769,63,19,49,0.388,18,39,0.462,1,10,0.1,14,20,0.7,53
Florida,1,2014-04-05 NCAA,53,UConn,7,L 53-63,National Semi,South,200,19,49,0.388,18,39,0.462,1,10,0.1,14,20,0.7,53,24,43,0.558,19,31,0.613,5,12,0.417,10,13,0.769,63
Louisville,1,2013-04-08 NCAA,82,Michigan,4,W 82-76,National Final,Midwest,200,28,61,0.459,20,45,0.444,8,16,0.5,18,23,0.783,82,25,48,0.521,17,30,0.567,8,18,0.444,18,25,0.72,76
Michigan,4,2013-04-08 NCAA,76,Louisville,1,L 76-82,National Final,South,200,25,48,0.521,17,30,0.567,8,18,0.444,18,25,0.72,76,28,61,0.459,20,45,0.444,8,16,0.5,18,23,0.783,82
Louisville,1,2013-04-06 NCAA,72,Wichita State,9,W 72-68,National Semi,Midwest,200,22,49,0.449,13,24,0.542,9,25,0.36,19,29,0.655,72,22,54,0.407,16,34,0.471,6,20,0.3,18,24,0.75,68
Wichita State,9,2013-04-06 NCAA,68,Louisville,1,L 68-72,National Semi,West,200,22,54,0.407,16,34,0.471,6,20,0.3,18,24,0.75,68,22,49,0.449,13,24,0.542,9,25,0.36,19,29,0.655,72
Michigan,4,2013-04-06 NCAA,61,Syracuse,4,W 61-56,National Semi,South,201,21,53,0.396,13,29,0.448,8,24,0.333,11,20,0.55,61,23,55,0.418,20,41,0.488,3,14,0.214,7,11,0.636,56
Syracuse,4,2013-04-06 NCAA,56,Michigan,4,L 56-61,National Semi,East,201,23,55,0.418,20,41,0.488,3,14,0.214,7,11,0.636,56,21,53,0.396,13,29,0.448,8,24,0.333,11,20,0.55,61
Kentucky,1,2012-04-02 NCAA,67,Kansas,2,W 67-59,National Final,South,200,23,56,0.411,17,42,0.405,6,14,0.429,15,21,0.714,67,22,62,0.355,17,51,0.333,5,11,0.455,10,15,0.667,59
Kansas,2,2012-04-02 NCAA,59,Kentucky,1,L 59-67,National Final,Midwest,200,22,62,0.355,17,51,0.333,5,11,0.455,10,15,0.667,59,23,56,0.411,17,42,0.405,6,14,0.429,15,21,0.714,67
Kentucky,1,2012-03-31 NCAA,69,Louisville,4,W 69-61,National Semi,South,200,28,49,0.571,26,42,0.619,2,7,0.286,11,20,0.55,69,24,69,0.348,20,58,0.345,4,11,0.364,9,13,0.692,61
Kansas,2,2012-03-31 NCAA,64,Ohio State,2,W 64-62,National Semi,Midwest,200,25,56,0.446,22,45,0.489,3,11,0.273,11,14,0.786,64,20,59,0.339,12,37,0.324,8,22,0.364,14,15,0.933,62
Ohio State,2,2012-03-31 NCAA,62,Kansas,2,L 62-64,National Semi,East,200,20,59,0.339,12,37,0.324,8,22,0.364,14,15,0.933,62,25,56,0.446,22,45,0.489,3,11,0.273,11,14,0.786,64
Louisville,4,2012-03-31 NCAA,61,Kentucky,1,L 61-69,National Semi,West,200,24,69,0.348,20,58,0.345,4,11,0.364,9,13,0.692,61,28,49,0.571,26,42,0.619,2,7,0.286,11,20,0.55,69
UConn,3,2011-04-04 NCAA,53,Butler,8,W 53-41,National Final,West,200,19,55,0.345,18,44,0.409,1,11,0.091,14,16,0.875,53,12,64,0.188,3,31,0.097,9,33,0.273,8,14,0.571,41
Butler,8,2011-04-04 NCAA,41,UConn,3,L 41-53,National Final,Southeast,200,12,64,0.188,3,31,0.097,9,33,0.273,8,14,0.571,41,19,55,0.345,18,44,0.409,1,11,0.091,14,16,0.875,53
Butler,8,2011-04-02 NCAA,70,VCU,11,W 70-62,National Semi,Southeast,200,21,59,0.356,13,36,0.361,8,23,0.348,20,26,0.769,70,23,58,0.397,15,36,0.417,8,22,0.364,8,13,0.615,62
VCU,11,2011-04-02 NCAA,62,Butler,8,L 62-70,National Semi,Southwest,200,23,58,0.397,15,36,0.417,8,22,0.364,8,13,0.615,62,21,59,0.356,13,36,0.361,8,23,0.348,20,26,0.769,70
UConn,3,2011-04-02 NCAA,56,Kentucky,4,W 56-55,National Semi,West,200,23,49,0.469,22,37,0.595,1,12,0.083,9,11,0.818,56,21,62,0.339,12,35,0.343,9,27,0.333,4,12,0.333,55
Kentucky,4,2011-04-02 NCAA,55,UConn,3,L 55-56,National Semi,East,200,21,62,0.339,12,35,0.343,9,27,0.333,4,12,0.333,55,23,49,0.469,22,37,0.595,1,12,0.083,9,11,0.818,56
Duke,1,2010-04-05 NCAA,61,Butler,5,W 61-59,National Final,South,200,23,52,0.442,18,35,0.514,5,17,0.294,10,16,0.625,61,20,58,0.345,14,40,0.35,6,18,0.333,13,18,0.722,59
Butler,5,2010-04-05 NCAA,59,Duke,1,L 59-61,National Final,West,200,20,58,0.345,14,40,0.35,6,18,0.333,13,18,0.722,59,23,52,0.442,18,35,0.514,5,17,0.294,10,16,0.625,61
Duke,1,2010-04-03 NCAA,78,West Virginia,2,W 78-57,National Semi,South,200,29,55,0.527,16,30,0.533,13,25,0.52,7,9,0.778,78,19,46,0.413,14,34,0.412,5,12,0.417,14,19,0.737,57
West Virginia,2,2010-04-03 NCAA,57,Duke,1,L 57-78,National Semi,East,200,19,46,0.413,14,34,0.412,5,12,0.417,14,19,0.737,57,29,55,0.527,16,30,0.533,13,25,0.52,7,9,0.778,78
Butler,5,2010-04-03 NCAA,52,Michigan State,5,W 52-50,National Semi,West,200,15,49,0.306,10,28,0.357,5,21,0.238,17,24,0.708,52,18,42,0.429,14,31,0.452,4,11,0.364,10,18,0.556,50
Michigan State,5,2010-04-03 NCAA,50,Butler,5,L 50-52,National Semi,Midwest,200,18,42,0.429,14,31,0.452,4,11,0.364,10,18,0.556,50,15,49,0.306,10,28,0.357,5,21,0.238,17,24,0.708,52
North Carolina,1,2009-04-06 NCAA,89,Michigan State,2,W 89-72,National Final,South,200,28,61,0.459,23,49,0.469,5,12,0.417,28,40,0.7,89,22,55,0.4,15,32,0.469,7,23,0.304,21,29,0.724,72
Michigan State,2,2009-04-06 NCAA,72,North Carolina,1,L 72-89,National Final,Midwest,200,22,55,0.4,15,32,0.469,7,23,0.304,21,29,0.724,72,28,61,0.459,23,49,0.469,5,12,0.417,28,40,0.7,89
North Carolina,1,2009-04-04 NCAA,83,Villanova,3,W 83-69,National Semi,South,200,25,62,0.403,14,40,0.35,11,22,0.5,22,37,0.595,83,26,79,0.329,21,52,0.404,5,27,0.185,12,16,0.75,69
Michigan State,2,2009-04-04 NCAA,82,UConn,1,W 82-73,National Semi,Midwest,200,31,72,0.431,25,53,0.472,6,19,0.316,14,20,0.7,82,25,59,0.424,23,53,0.434,2,6,0.333,21,33,0.636,73
UConn,1,2009-04-04 NCAA,73,Michigan State,2,L 73-82,National Semi,West,200,25,59,0.424,23,53,0.434,2,6,0.333,21,33,0.636,73,31,72,0.431,25,53,0.472,6,19,0.316,14,20,0.7,82
Villanova,3,2009-04-04 NCAA,69,North Carolina,1,L 69-83,National Semi,East,200,26,79,0.329,21,52,0.404,5,27,0.185,12,16,0.75,69,25,62,0.403,14,40,0.35,11,22,0.5,22,37,0.595,83
Kansas,1,2008-04-07 NCAA,75,Memphis,1,W 75-68 (OT),National Final,Midwest,225,29,55,0.527,26,43,0.605,3,12,0.25,14,15,0.933,75,25,62,0.403,19,40,0.475,6,22,0.273,12,19,0.632,68
Memphis,1,2008-04-07 NCAA,68,Kansas,1,L 68-75 (OT),National Final,South,225,25,62,0.403,19,40,0.475,6,22,0.273,12,19,0.632,68,29,55,0.527,26,43,0.605,3,12,0.25,14,15,0.933,75
Kansas,1,2008-04-05 NCAA,84,North Carolina,1,W 84-66,National Semi,Midwest,200,34,64,0.531,29,49,0.592,5,15,0.333,11,14,0.786,84,24,67,0.358,19,43,0.442,5,24,0.208,13,15,0.867,66
Memphis,1,2008-04-05 NCAA,78,UCLA,1,W 78-63,National Semi,South,200,27,64,0.422,23,52,0.442,4,12,0.333,20,23,0.87,78,24,64,0.375,20,51,0.392,4,13,0.308,11,13,0.846,63
North Carolina,1,2008-04-05 NCAA,66,Kansas,1,L 66-84,National Semi,East,200,24,67,0.358,19,43,0.442,5,24,0.208,13,15,0.867,66,34,64,0.531,29,49,0.592,5,15,0.333,11,14,0.786,84
UCLA,1,2008-04-05 NCAA,63,Memphis,1,L 63-78,National Semi,West,200,24,64,0.375,20,51,0.392,4,13,0.308,11,13,0.846,63,27,64,0.422,23,52,0.442,4,12,0.333,20,23,0.87,78
Florida,1,2007-04-02 NCAA,84,Ohio State,1,W 84-75,National Final,Midwest,200,26,53,0.491,16,35,0.457,10,18,0.556,22,25,0.88,84,30,64,0.469,26,41,0.634,4,23,0.174,11,17,0.647,75
Ohio State,1,2007-04-02 NCAA,75,Florida,1,L 75-84,National Final,South,200,30,64,0.469,26,41,0.634,4,23,0.174,11,17,0.647,75,26,53,0.491,16,35,0.457,10,18,0.556,22,25,0.88,84
Florida,1,2007-03-31 NCAA,76,UCLA,2,W 76-66,National Semi,Midwest,200,24,45,0.533,15,23,0.652,9,22,0.409,19,31,0.613,76,25,64,0.391,20,41,0.488,5,23,0.217,11,13,0.846,66
Ohio State,1,2007-03-31 NCAA,67,Georgetown,2,W 67-60,National Semi,South,200,25,57,0.439,21,43,0.488,4,14,0.286,13,19,0.684,67,25,51,0.49,18,30,0.6,7,21,0.333,3,8,0.375,60
UCLA,2,2007-03-31 NCAA,66,Florida,1,L 66-76,National Semi,West,200,25,64,0.391,20,41,0.488,5,23,0.217,11,13,0.846,66,24,45,0.533,15,23,0.652,9,22,0.409,19,31,0.613,76
Georgetown,2,2007-03-31 NCAA,60,Ohio State,1,L 60-67,National Semi,East,200,25,51,0.49,18,30,0.6,7,21,0.333,3,8,0.375,60,25,57,0.439,21,43,0.488,4,14,0.286,13,19,0.684,67
Florida,3,2006-04-03 NCAA,73,UCLA,2,W 73-57,National Final,Minneapolis,200,26,58,0.448,20,39,0.513,6,19,0.316,15,20,0.75,73,22,61,0.361,19,44,0.432,3,17,0.176,10,14,0.714,57
UCLA,2,2006-04-03 NCAA,57,Florida,3,L 57-73,National Final,Oakland,200,22,61,0.361,19,44,0.432,3,17,0.176,10,14,0.714,57,26,58,0.448,20,39,0.513,6,19,0.316,15,20,0.75,73
Florida,3,2006-04-01 NCAA,73,George Mason,11,W 73-58,National Semi,Minneapolis,200,23,53,0.434,11,28,0.393,12,25,0.48,15,19,0.789,73,23,56,0.411,21,45,0.467,2,11,0.182,10,14,0.714,58
UCLA,2,2006-04-01 NCAA,59,LSU,4,W 59-45,National Semi,Oakland,200,21,51,0.412,16,33,0.485,5,18,0.278,12,17,0.706,59,16,50,0.32,16,44,0.364,0,6,0,13,28,0.464,45
George Mason,11,2006-04-01 NCAA,58,Florida,3,L 58-73,National Semi,Washington,200,23,56,0.411,21,45,0.467,2,11,0.182,10,14,0.714,58,23,53,0.434,11,28,0.393,12,25,0.48,15,19,0.789,73
LSU,4,2006-04-01 NCAA,45,UCLA,2,L 45-59,National Semi,Atlanta,200,16,50,0.32,16,44,0.364,0,6,0,13,28,0.464,45,21,51,0.412,16,33,0.485,5,18,0.278,12,17,0.706,59
North Carolina,1,2005-04-04 NCAA,75,Illinois,1,W 75-70,National Final,Syracuse,200,27,52,0.519,18,36,0.5,9,16,0.563,12,19,0.632,75,27,70,0.386,15,30,0.5,12,40,0.3,4,6,0.667,70
Illinois,1,2005-04-04 NCAA,70,North Carolina,1,L 70-75,National Final,Chicago,200,27,70,0.386,15,30,0.5,12,40,0.3,4,6,0.667,70,27,52,0.519,18,36,0.5,9,16,0.563,12,19,0.632,75
North Carolina,1,2005-04-02 NCAA,87,Michigan State,5,W 87-71,National Semi,Syracuse,200,35,71,0.493,29,51,0.569,6,20,0.3,11,17,0.647,87,25,74,0.338,18,51,0.353,7,23,0.304,14,18,0.778,71
Illinois,1,2005-04-02 NCAA,72,Louisville,4,W 72-57,National Semi,Chicago,200,27,56,0.482,15,26,0.577,12,30,0.4,6,8,0.75,72,21,54,0.389,15,34,0.441,6,20,0.3,9,12,0.75,57
Michigan State,5,2005-04-02 NCAA,71,North Carolina,1,L 71-87,National Semi,Austin,200,25,74,0.338,18,51,0.353,7,23,0.304,14,18,0.778,71,35,71,0.493,29,51,0.569,6,20,0.3,11,17,0.647,87
Louisville,4,2005-04-02 NCAA,57,Illinois,1,L 57-72,National Semi,Albuquerque,200,21,54,0.389,15,34,0.441,6,20,0.3,9,12,0.75,57,27,56,0.482,15,26,0.577,12,30,0.4,6,8,0.75,72
UConn,2,2004-04-05 NCAA,82,Georgia Tech,3,W 82-73,National Final,Phoenix,200,26,61,0.426,21,44,0.477,5,17,0.294,25,39,0.641,82,27,71,0.38,20,49,0.408,7,22,0.318,12,21,0.571,73
Georgia Tech,3,2004-04-05 NCAA,73,UConn,2,L 73-82,National Final,St. Louis,200,27,71,0.38,20,49,0.408,7,22,0.318,12,21,0.571,73,26,61,0.426,21,44,0.477,5,17,0.294,25,39,0.641,82
