Season,Team,FG,FGA,FG_perc,x2P,x2PA,x2P_perc,x3P,x3PA,x3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Final_Four,Champion
2006-07,North Carolina,28.4,58.9,0.482,23.6,44.5,0.531,4.8,14.4,0.33,17.4,24.4,0.713,13.1,21.8,34.8,16.9,7.8,4.3,12.9,17.3,84.4,No,No
2006-07,Ohio State,23.8,53,0.449,17.2,33.2,0.518,6.6,19.8,0.334,14.3,20.3,0.704,10.9,21.2,32.1,14.9,5.8,6.1,10.6,13.1,68.5,Yes,No
2005-06,Memphis,27.1,60.4,0.448,19.8,39.7,0.498,7.3,20.7,0.352,19.5,27.6,0.705,15.5,22,37.5,15.3,10,6.5,14.6,20.1,80.9,No,No
2005-06,Duke,27.7,57.6,0.481,19.3,37.1,0.521,8.4,20.5,0.409,19.8,25.3,0.782,10.1,19.8,29.9,16.1,10.1,6.3,14.9,18.6,83.5,No,No
2005-06,Connecticut,27.8,59.9,0.464,22.8,45,0.506,5.1,14.9,0.339,16.5,23.6,0.698,15.6,25.3,40.9,15.6,5.4,9.9,14.4,14.8,77.2,No,No
2005-06,Villanova,24.3,60,0.404,15.2,36.4,0.417,9.1,23.6,0.385,16.4,21.4,0.764,14.1,17.3,31.4,11.6,7.6,4.6,11.1,18.6,73.9,No,No
2004-05,Illinois,27,55.6,0.485,17.9,33.7,0.532,9.1,21.9,0.413,12.9,17.1,0.755,10.1,19.5,29.6,17.5,8.1,2.7,10,15.5,75.9,Yes,No
2004-05,North Carolina,28.5,57.8,0.494,22.2,40.9,0.542,6.3,16.8,0.375,18.4,24.8,0.741,13.4,22.8,36.1,17.4,8.8,3.7,15.4,17.4,87,Yes,Yes
2004-05,Duke,24.5,54.8,0.447,15.4,32.2,0.48,9.1,22.6,0.401,16.9,23.6,0.716,11.8,18.8,30.6,11.6,8.5,5.7,12.8,17.4,80.7,No,No
2004-05,Washington,30.7,64.8,0.473,23.1,44.6,0.519,7.6,20.3,0.373,15.1,20.7,0.729,14.7,18.6,33.3,18.7,8.5,2.3,14.2,20.7,84,No,No
